Country,Institution,Year,Regulation,Type of Regulation,,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Nigeria,Central Bank of Nigeria,2016,Guidelines on Operations of Electronic Payment Channels in Nigeria,Reporting Requirements,,,,,,,,,,,,,,Guidelines on Operations of Electronic Payment Channels in Nigeria,
Nigeria,Central Bank of Nigeria,2017,Review of Daily MM Wallet Transaction & BVN Requirement for Mobile Money Wallet Holders,KYC Requirements,,,,,,,,,,,,,,,Review of Daily MM Wallet Transaction & BVN Requirement for Mobile Money Wallet Holders
Nigeria,Central Bank of Nigeria,2017,Review of Daily MM Wallet Transaction & BVN Requirement for Mobile Money Wallet Holders,Caps and Fees,,,,,,,,,,,,,,,Review of Daily MM Wallet Transaction & BVN Requirement for Mobile Money Wallet Holders
Pakistan,State Bank of Pakistan,2016,Anti-Money Laundering and Combating the Financing of Terrorism (AML/CFT)  regulations for Banks & DFIS,KYC Requirements,,,,,,,,,,,,,,Anti-Money Laundering and Combating the Financing of Terrorism (AML/CFT)  regulations for Banks & DFIS,
Pakistan,State Bank of Pakistan,2016,Branchless Banking Regulations,KYC Requirements,,,,,,,,,,,,,,Branchless Banking Regulations,
Pakistan,State Bank of Pakistan,2016,Branchless Banking Regulations,Caps and Fees,,,,,,,,,,,,,,Branchless Banking Regulations,
Pakistan,State Bank of Pakistan,2016,Branchless Banking Regulations,Interoperability,,,,,,,,,,,,,,Branchless Banking Regulations,
Pakistan,State Bank of Pakistan,2016,Branchless Banking Regulations,Agent Selection,,,,,,,,,,,,,,Branchless Banking Regulations,
Pakistan,State Bank of Pakistan,2016,Branchless Banking Regulations,Agent Services,,,,,,,,,,,,,,Branchless Banking Regulations,
Pakistan,State Bank of Pakistan,2016,Branchless Banking Regulations,Reporting Requirements,,,,,,,,,,,,,,Branchless Banking Regulations,
Pakistan,State Bank of Pakistan,2016,Framework for Branchless Banking Agent Acquisition and Management,KYC Requirements,,,,,,,,,,,,,,Framework for Branchless Banking Agent Acquisition and Management,
Pakistan,State Bank of Pakistan,2016,Framework for Branchless Banking Agent Acquisition and Management,Caps and Fees,,,,,,,,,,,,,,Framework for Branchless Banking Agent Acquisition and Management,
Pakistan,State Bank of Pakistan,2016,Framework for Branchless Banking Agent Acquisition and Management,Agent Selection,,,,,,,,,,,,,,Framework for Branchless Banking Agent Acquisition and Management,
Pakistan,State Bank of Pakistan,2016,Framework for Branchless Banking Agent Acquisition and Management,Agent Services,,,,,,,,,,,,,,Framework for Branchless Banking Agent Acquisition and Management,
Pakistan,State Bank of Pakistan,2016,Framework for Branchless Banking Agent Acquisition and Management,Reporting Requirements,,,,,,,,,,,,,,Framework for Branchless Banking Agent Acquisition and Management,
Pakistan,State Bank of Pakistan,2016,Regulations for Mobile Banking Interoperability,Caps and Fees,,,,,,,,,,,,,,Regulations for Mobile Banking Interoperability,
Pakistan,State Bank of Pakistan,2016,Regulations for Mobile Banking Interoperability,Interoperability,,,,,,,,,,,,,,Regulations for Mobile Banking Interoperability,
Pakistan,State Bank of Pakistan,2016,Regulations for Mobile Banking Interoperability,Agent Selection,,,,,,,,,,,,,,Regulations for Mobile Banking Interoperability,
Pakistan,State Bank of Pakistan,2016,Regulations for Mobile Banking Interoperability,Agent Services,,,,,,,,,,,,,,Regulations for Mobile Banking Interoperability,
Pakistan,State Bank of Pakistan,2016,Regulations for Mobile Banking Interoperability,Reporting Requirements,,,,,,,,,,,,,,Regulations for Mobile Banking Interoperability,
Pakistan,Pakistan Telecommunication Authority,2016,Regulations for Technical Implementation of Mobile Banking,Caps and Fees,,,,,,,,,,,,,,Regulations for Technical Implementation of Mobile Banking,
Pakistan,Pakistan Telecommunication Authority,2016,Regulations for Technical Implementation of Mobile Banking,Interoperability,,,,,,,,,,,,,,Regulations for Technical Implementation of Mobile Banking,
Pakistan,Pakistan Telecommunication Authority,2016,Regulations for Technical Implementation of Mobile Banking,Agent Selection,,,,,,,,,,,,,,Regulations for Technical Implementation of Mobile Banking,
Pakistan,Pakistan Telecommunication Authority,2016,Regulations for Technical Implementation of Mobile Banking,Agent Services,,,,,,,,,,,,,,Regulations for Technical Implementation of Mobile Banking,
Pakistan,Pakistan Telecommunication Authority,2017,Third Party Service Provider (TPSP) Licensing,Interoperability,,,,,,,,,,,,,,,Third Party Service Provider (TPSP) Licensing
Pakistan,Pakistan Telecommunication Authority,2017,Third Party Service Provider (TPSP) Licensing,Agent Selection,,,,,,,,,,,,,,,Third Party Service Provider (TPSP) Licensing
Tanzania,Bank of Tanzania,2007,Electronic Payment Schemes Guidelines ,KYC Requirements,,,,,Electronic Payment Schemes Guidelines ,,,,,,,,,,
Tanzania,Bank of Tanzania,2007,Electronic Payment Schemes Guidelines ,Interoperability,,,,,Electronic Payment Schemes Guidelines ,,,,,,,,,,
Tanzania,Bank of Tanzania,2007,Electronic Payment Schemes Guidelines ,Reporting Requirements,,,,,Electronic Payment Schemes Guidelines ,,,,,,,,,,
Tanzania,Bank of Tanzania,2013,Guidelines on Agent Banking for Banking Institutions,KYC Requirements,,,,,,,,,,,Guidelines on Agent Banking for Banking Institutions,,,,
Tanzania,Bank of Tanzania,2013,Guidelines on Agent Banking for Banking Institutions,Caps and Fees,,,,,,,,,,,Guidelines on Agent Banking for Banking Institutions,,,,
Tanzania,Bank of Tanzania,2013,Guidelines on Agent Banking for Banking Institutions,Agent Selection,,,,,,,,,,,Guidelines on Agent Banking for Banking Institutions,,,,
Tanzania,Bank of Tanzania,2013,Guidelines on Agent Banking for Banking Institutions,Agent Services,,,,,,,,,,,Guidelines on Agent Banking for Banking Institutions,,,,
Tanzania,Bank of Tanzania,2013,Guidelines on Agent Banking for Banking Institutions,Reporting Requirements,,,,,,,,,,,Guidelines on Agent Banking for Banking Institutions,,,,
Tanzania,Tanzania Revenue Authority,2014,Excise Duty on Charges and Fees,Caps and Fees,,,,,,,,,,,,Excise Duty on Charges and Fees,,,
Tanzania,Tanzania Revenue Authority,2014,Excise Duty on Charges and Fees,Agent Services,,,,,,,,,,,,Excise Duty on Charges and Fees,,,
Tanzania,Tanzania Revenue Authority,2014,Excise Duty on Charges and Fees,Reporting Requirements,,,,,,,,,,,,Excise Duty on Charges and Fees,,,
Tanzania,Bank of Tanzania,2015,"Government Notice No. 245, The Foreign Exchange Act, Cap. 271",KYC Requirements,,,,,,,,,,,,,"Government Notice No. 245, The Foreign Exchange Act, Cap. 271",,
Tanzania,Bank of Tanzania,2015,"Government Notice No. 245, The Foreign Exchange Act, Cap. 271",Agent Selection,,,,,,,,,,,,,"Government Notice No. 245, The Foreign Exchange Act, Cap. 271",,
Tanzania,Bank of Tanzania,2015,"Government Notice No. 245, The Foreign Exchange Act, Cap. 271",Reporting Requirements,,,,,,,,,,,,,"Government Notice No. 245, The Foreign Exchange Act, Cap. 271",,
Tanzania,Bank of Tanzania,2015,The Payment Systems (Electronic Money) Regulations,KYC Requirements,,,,,,,,,,,,,The Payment Systems (Electronic Money) Regulations,,
Tanzania,Bank of Tanzania,2015,The Payment Systems (Electronic Money) Regulations,Caps and Fees,,,,,,,,,,,,,The Payment Systems (Electronic Money) Regulations,,
Tanzania,Bank of Tanzania,2015,The Payment Systems (Electronic Money) Regulations,Agent Selection,,,,,,,,,,,,,The Payment Systems (Electronic Money) Regulations,,
Tanzania,Bank of Tanzania,2015,The Payment Systems (Electronic Money) Regulations,Agent Services,,,,,,,,,,,,,The Payment Systems (Electronic Money) Regulations,,
Tanzania,Bank of Tanzania,2015,The Payment Systems (Electronic Money) Regulations,Reporting Requirements,,,,,,,,,,,,,The Payment Systems (Electronic Money) Regulations,,
Tanzania,Bank of Tanzania,2017,Guidelines on Agent Banking for Banks and Financial Institutions,KYC Requirements,,,,,,,,,,,,,,,Guidelines on Agent Banking for Banks and Financial Institutions
Tanzania,Bank of Tanzania,2017,Guidelines on Agent Banking for Banks and Financial Institutions,Caps and Fees,,,,,,,,,,,,,,,Guidelines on Agent Banking for Banks and Financial Institutions
Tanzania,Bank of Tanzania,2017,Guidelines on Agent Banking for Banks and Financial Institutions,Agent Selection,,,,,,,,,,,,,,,Guidelines on Agent Banking for Banks and Financial Institutions
Tanzania,Bank of Tanzania,2017,Guidelines on Agent Banking for Banks and Financial Institutions,Agent Services,,,,,,,,,,,,,,,Guidelines on Agent Banking for Banks and Financial Institutions
Tanzania,Bank of Tanzania,2017,Guidelines on Agent Banking for Banks and Financial Institutions,Reporting Requirements,,,,,,,,,,,,,,,Guidelines on Agent Banking for Banks and Financial Institutions
Uganda,Bank of Uganda,2013,"Mobile Money Guidelines, 2013",KYC Requirements,,,,,,,,,,,"Mobile Money Guidelines, 2013",,,,
Uganda,Bank of Uganda,2013,"Mobile Money Guidelines, 2013",Caps and Fees,,,,,,,,,,,"Mobile Money Guidelines, 2013",,,,
Uganda,Bank of Uganda,2013,"Mobile Money Guidelines, 2013",Interoperability,,,,,,,,,,,"Mobile Money Guidelines, 2013",,,,
Uganda,Bank of Uganda,2013,"Mobile Money Guidelines, 2013",Agent Selection,,,,,,,,,,,"Mobile Money Guidelines, 2013",,,,
Uganda,Bank of Uganda,2016,The Financial Institutions (Amendment) Act,Agent Selection,,,,,,,,,,,,,,The Financial Institutions (Amendment) Act,
Uganda,Bank of Uganda,2017,The Financial Institutions (Agent Banking) Regulations,KYC Requirements,,,,,,,,,,,,,,,The Financial Institutions (Agent Banking) Regulations
Uganda,Bank of Uganda,2017,The Financial Institutions (Agent Banking) Regulations,Caps and Fees,,,,,,,,,,,,,,,The Financial Institutions (Agent Banking) Regulations
Uganda,Bank of Uganda,2017,The Financial Institutions (Agent Banking) Regulations,Agent Selection,,,,,,,,,,,,,,,The Financial Institutions (Agent Banking) Regulations
Uganda,Bank of Uganda,2017,The Financial Institutions (Agent Banking) Regulations,Agent Services,,,,,,,,,,,,,,,The Financial Institutions (Agent Banking) Regulations
Uganda,Bank of Uganda,2017,The Financial Institutions (Agent Banking) Regulations,Reporting Requirements,,,,,,,,,,,,,,,The Financial Institutions (Agent Banking) Regulations
